"","year","brand","superbowl_ads_dot_com_url","youtube_url","funny","show_product_quickly","patriotic","celebrity","danger","animals","use_sex","duration","cost"
"57",2015,"Doritos","https://superbowl-ads.com/2015-doritos-middle-seat/","https://www.youtube.com/watch?v=2JqRXLQYF9o",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,30,4283129
"58",2007,"Coca-Cola","https://superbowl-ads.com/2007-coca-cola-video-game/","https://www.youtube.com/watch?v=3Tnm53uXIvg",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,60,4770730
"59",2019,"Toyota","https://superbowl-ads.com/2019-toyota-supra-wizard/","https://www.youtube.com/watch?v=ZuBbnZ3UbJw",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,60,10399832
"60",2014,"Coca-Cola","https://superbowl-ads.com/2014-coca-going-all-the-way/","https://www.youtube.com/watch?v=nO-8ZY7p95o",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,60,8169728
"61",2004,"Budweiser","https://superbowl-ads.com/2004-budweiser-referee/","https://www.youtube.com/watch?v=uO-E2T1hayU",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30,2302200
"62",2016,"Coca-Cola","https://superbowl-ads.com/coca-cola-mini-2016-super-bowl-50-ad-hulk-vs-ant-man/","https://www.youtube.com/watch?v=sMkGwCw7iv8",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,72,9600000
"63",2015,"Budweiser","https://superbowl-ads.com/2015-budweiser-clydesdale-beer-run/","https://www.youtube.com/watch?v=5tso0er4EUI",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,30,4283129
"64",2016,"Hynudai","https://superbowl-ads.com/hyundai-2016-super-bowl-50-ad-first-date/","https://www.youtube.com/watch?v=KwUUdl22mkA",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,60,9600000
"65",2018,"Coca-Cola","https://superbowl-ads.com/2018-coca-cola-super-bowl-ad-wonder-us/","https://www.youtube.com/watch?v=ucCvhK2CZMo",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,59,10470758
"66",2014,"Doritos","https://superbowl-ads.com/2014-doritos-cowboy-kid/","https://www.youtube.com/watch?v=1X_M47SQF6s",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,37,4084864
"67",2016,"Budweiser","https://superbowl-ads.com/budweiser-2016-super-bowl-50-ad-simply-put/","https://www.youtube.com/watch?v=Le_2S2db0Bk",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,60,9600000
"68",2004,"Budweiser","https://superbowl-ads.com/2004-budweiser-donkey/","https://www.youtube.com/watch?v=pmmsr7PAhWU",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,61,4604400
"69",2015,"Budweiser","https://superbowl-ads.com/budweiser-2015-super-bowl-xlix-ad-brewed-the-hard-way/","https://www.youtube.com/watch?v=7_EfXuGev24",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,60,8566258
"70",2016,"Kia","https://superbowl-ads.com/kia-optima-2016-super-bowl-50-ad-walken-closet/","https://www.youtube.com/watch?v=rBkPXt-OpA4",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,76,14400000
"71",2017,"Budweiser","https://superbowl-ads.com/2017-budweiser-super-bowl-51-li-tv-commercial-born-hard-way/","https://www.youtube.com/watch?v=HtBZvl7dIu4",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,60,10799746
"72",2009,"Coca-Cola","https://superbowl-ads.com/2009-coca-cola-heist/","https://www.youtube.com/watch?v=icV7fGqPZ2I",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,62,6e+06
"73",2015,"Doritos","https://superbowl-ads.com/doritos-2015-super-bowl-xlix-ad-when-pigs-fly/","https://www.youtube.com/watch?v=YQo0TfuueaY",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,30,4283129
"74",2004,"Toyota","https://superbowl-ads.com/2004-toyota-revenge/","https://www.youtube.com/watch?v=5uLJitPWAXM",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,33,2302200
"75",2016,"NFL","https://superbowl-ads.com/nfl-2016-super-bowl-50-ad-super-bowl-babies-choir/","https://www.youtube.com/watch?v=9KqekigARfE",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,187,28800000
"76",2017,"Hynudai","https://superbowl-ads.com/2017-hyundai-super-bowl-51-li-tv-commercial-better-super-bowl/","https://www.youtube.com/watch?v=KpN6fxOorwE",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,96,16199619
"77",2012,"Bud Light","https://superbowl-ads.com/2012-bud-light-rescue-dog/","https://www.youtube.com/watch?v=Qr3GJqccGi4",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,61,6885504
"78",2008,"Budweiser","https://superbowl-ads.com/2008-budweiser-dalmatian-trains-hank-for-team/","https://www.youtube.com/watch?v=odpagg0jV6I",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,60,5399926
"79",2013,"Hynudai","https://superbowl-ads.com/video-hyundai-2013-super-bowl-xlvii-ad-santafe-team/","https://www.youtube.com/watch?v=jvm68nEAU7o",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,47,7530260
"80",2010,"Doritos","https://superbowl-ads.com/hd-exclusive-casket-funeral-doritos-2010-super-bowl-44-xliv-commercial-ad/","https://www.youtube.com/watch?v=2IhJl7mBtls",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,31,2800000
"81",2016,"Bud Light","https://superbowl-ads.com/bud-light-2016-super-bowl-50-ad-the-bud-light-party/","https://www.youtube.com/watch?v=e0ez2t6oRWY",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,60,9600000
"82",2019,"Toyota","https://superbowl-ads.com/2019-toyota-toni-with-antoinette-harris/","https://www.youtube.com/watch?v=wegrVsP3gK4",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,70,10399832
"83",2009,"Bud Light","https://superbowl-ads.com/2009-bud-light-meeting/","https://www.youtube.com/watch?v=L1fL0ZHX2t0",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,31,3e+06
"84",2019,"Budweiser","https://superbowl-ads.com/2019-budweiser-wind-never-felt-better/","",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,60,10399832
"85",2019,"Coca-Cola","https://superbowl-ads.com/2019-coca-cola-a-coke-is-a-coke/","https://www.youtube.com/watch?v=WTqL_giKNHQ",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,60,10399832
"86",2012,"Hynudai","https://superbowl-ads.com/2012-hyundai-genesis-heart/","https://www.youtube.com/watch?v=UxQKSCpOIOI",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,31,3442752
"87",2011,"Hynudai","https://superbowl-ads.com/2011-hyundai-super-bowl-commercial-hypnotized-video/","https://www.youtube.com/watch?v=5ofcQl6gWeE",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25,2948649
"88",2015,"Kia","https://superbowl-ads.com/2015-kia-sorento-the-perfect-getaway-with-pierce-brosnan/","https://www.youtube.com/watch?v=nayeYTmEdYw",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,72,8566258
"89",2014,"Budweiser","https://superbowl-ads.com/2014-budweiser-a-heros-welcome/","https://www.youtube.com/watch?v=XxfxB0O9Uuk",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,60,8169728
"90",2007,"Bud Light","https://superbowl-ads.com/2007-bud-light-rock-scissors-paper/","https://www.youtube.com/watch?v=kH50-giCeDM",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,30,2385365
"91",2008,"Hynudai","https://superbowl-ads.com/2008-hyundai-genesis-luxury/","https://www.youtube.com/watch?v=PsKJUnGEGSs",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,33,2699963
"92",2010,"NFL","https://superbowl-ads.com/2010-nfl-best-fans-on-the-planet/","https://www.youtube.com/watch?v=6cMHr8goUgU",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,60,5600000
"93",2005,"Pepsi","https://superbowl-ads.com/2005-pepsi-song-in-a-bottle/","https://www.youtube.com/watch?v=vUwROngDC88",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,79,7200000
"94",2018,"Budweiser","https://superbowl-ads.com/41891-2/","https://www.youtube.com/watch?v=GNVw5f16GEM",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,60,10470758
"95",2018,"Bud Light","https://superbowl-ads.com/bud-light-the-bud-knight/","https://www.youtube.com/watch?v=UizTtcBsNi8",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,60,10470758
"96",2004,"Bud Light","https://superbowl-ads.com/2004-bud-light-sleigh-ride/","https://www.youtube.com/watch?v=yQ_nU0_R7PE",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,31,2302200
"97",2006,"Budweiser","https://superbowl-ads.com/2006-budweiser-stadium-crowd-wave/","https://www.youtube.com/watch?v=4WeAvfP1ikU",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,34,2500000
"98",2014,"Bud Light","https://superbowl-ads.com/2014-bud-light-up-for-whatever-2/","https://www.youtube.com/watch?v=PnOW5qj_R6A",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,61,8169728
"99",2009,"Coca-Cola","https://superbowl-ads.com/2009-coca-cola-avatar/","https://www.youtube.com/watch?v=Kwke0LNardc",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,61,6e+06
"100",2014,"Bud Light","https://superbowl-ads.com/2014-bud-light-up-for-whatever-1/","",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,31,4084864
"101",2014,"Toyota","https://superbowl-ads.com/2014-toyota-highlander-no-room-for-boring/","https://www.youtube.com/watch?v=b01P9PaaoLk",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,62,8169728
"102",2009,"Bud Light","https://superbowl-ads.com/2009-bud-light-skier/","https://www.youtube.com/watch?v=LEVQAU_LITI",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,32,3e+06
"103",2014,"Kia","https://superbowl-ads.com/2014-kia-the-truth/","https://www.youtube.com/watch?v=FTNMYoKHwvU",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,93,12254592
"104",2014,"Hynudai","https://superbowl-ads.com/2014-hyundai-elantra-nice/","https://www.youtube.com/watch?v=2jMWybAKjWw",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,31,4084864
"105",2013,"Bud Light","https://superbowl-ads.com/video-bud-light-2013-super-bowl-xlvii-commercial-lucky-chair/","https://www.youtube.com/watch?v=7HMTkEMdqBQ",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,60,7530260
"106",2008,"Bud Light","https://superbowl-ads.com/2008-bud-light-wheel-suck/","https://www.youtube.com/watch?v=WX8Du9pusdA",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,31,2699963
"107",2013,"Bud Light","https://superbowl-ads.com/video-bud-light-2013-super-bowl-xlvii-ad-journey/","https://www.youtube.com/watch?v=leptS7k6sLE",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,60,7530260
"108",2011,"Doritos","https://superbowl-ads.com/2011-doritos-pug-attack/","https://www.youtube.com/watch?v=1A6frF5zfDE",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,30,2948649
"109",2005,"Bud Light","https://superbowl-ads.com/2005-bud-light-skydiver/","https://www.youtube.com/watch?v=Y9wyIID8Khs",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,42,2400000
"110",2005,"Budweiser","https://superbowl-ads.com/2005-budweiser-tryouts/","",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,29,2400000
"111",2014,"Doritos","https://superbowl-ads.com/2014-doritos-time-machine/","https://www.youtube.com/watch?v=Y-P0Hs0ADJY",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,30,4084864
"112",2008,"Bud Light","https://superbowl-ads.com/2008-bud-light-wine-cheese-party/","https://www.youtube.com/watch?v=aEWtTVaIH0M",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,32,2699963
"113",2012,"Pepsi","https://superbowl-ads.com/2012-pepsi-kings-court/","https://www.youtube.com/watch?v=3rZs8ZKTsp0",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,62,6885504
"114",2012,"Doritos","https://superbowl-ads.com/2012-doritos-mans-best-friend/","https://www.youtube.com/watch?v=kMmd0WaQFGE",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,30,3442752
"115",2012,"Toyota","https://superbowl-ads.com/2012-toyota-camry-its-reinvented/","https://www.youtube.com/watch?v=oYdJKey7VpU",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,60,6885504
"116",2016,"Doritos","https://superbowl-ads.com/doritos-2016-super-bowl-50-ad-ultrasound/","https://www.youtube.com/watch?v=Qh_gOK6xDNA",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,30,4800000
"117",2013,"E-Trade","https://superbowl-ads.com/video-etrade-baby-2013-super-bowl-xlvii-commercial-save-it/","https://www.youtube.com/watch?v=F0nhq4GO90s",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,30,3765130
"118",2008,"Bud Light","https://superbowl-ads.com/2008-bud-light-breathe-fire/","https://www.youtube.com/watch?v=AhqPl1IKVo4",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,30,2699963
"119",2012,"Coca-Cola","https://superbowl-ads.com/2012-coca-cola-arghh-ny-bear/","https://www.youtube.com/watch?v=jhvAXT9R_3U",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,33,3442752
"120",2004,"Pepsi","https://superbowl-ads.com/2004-pepsi-jimi-hendrix/","https://www.youtube.com/watch?v=NOOmu1Rz17Y",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,30,2302200
